t,shock,change_0,change_1,change_2
95.6178122256425,7954294.667925572,6961356.934616003,7878745.0577824535,8796133.180948904
96.27272874773594,7134041.757800276,6853428.920125833,7069284.949106174,11872081.593918765
96.92764526982938,7943501.866476555,6799464.912880748,7716853.036047197,11980009.608408935
97.58256179192283,6756293.707084679,6691536.898390576,7716853.036047197,12087937.622899106
98.23747831401626,6723915.302737628,6637572.891145491,6691536.898390576,12195865.637389276
98.8923948361097,6648365.692594509,6583608.883900406,12627577.69534996,16620914.23148627
99.54731135820315,6605194.48679844,6529644.876655321,12789469.717085214,16620914.23148627
100.20222788029659,6518852.075206304,6475680.869410235,13922713.869232006,16189202.173525589
100.85714440239003,6464888.067961219,6421716.86216515,13868749.86198692,16081274.159035418
101.51206092448348,6400131.259267116,6367752.854920065,13814785.854741836,16027310.151790332
102.16697744657691,6313788.84767498,5396400.7245085295,6259824.840429895,13868749.86198692
102.82189396867035,6195068.031735792,6097932.818694638,7123248.956351259,13976677.87647709
103.4768104907638,6119518.421592672,6097932.818694638,6205860.8331848085,14030641.883722177
104.13172701285724,6087140.017245621,6043968.811449553,6205860.8331848085,12195865.637389276
104.78664353495068,6011590.407102502,5936040.7969593825,5990004.804204468,12249829.644634362
105.44156005704413,5968419.201306433,5936040.7969593825,8958025.202684158,12357757.659124533
106.09647657913756,5925247.995510366,5882076.789714297,8958025.202684158,12357757.659124533
106.751393101231,5903662.392612332,5882076.789714297,6691536.898390576,9011989.209929245
107.40630962332445,5892869.591163314,5828112.782469212,6745500.905635661,9011989.209929245
108.06122614541789,6119518.421592672,5774148.775224127,9011989.209929245,14084605.890967261
108.71614266751133,5730977.569428058,5720184.767979042,9011989.209929245,14030641.883722177
109.37105918960478,5741770.370877075,5720184.767979042,9011989.209929245,14030641.883722177
110.02597571169821,5698599.165081007,5666220.760733956,9011989.209929245,14084605.890967261
110.68089223379165,5612256.75348887,5612256.75348887,9011989.209929245,14138569.898212347
111.3358087558851,5558292.746243785,5558292.746243785,9065953.217174329,14192533.905457433
111.99072527797854,5547499.9447947685,3939372.5288912267,5558292.746243785,14192533.905457433
112.64564180007199,5525914.341896734,4101264.5506264823,5504328.7389987,11656225.564938424
113.30055832216543,5396400.7245085295,4263156.572361738,5396400.7245085295,11872081.593918765
113.95547484425886,5353229.518712461,4425048.594096994,5342436.717263444,12249829.644634362
114.6103913663523,4673283.027424387,4694868.630322421,6151896.825939723,12195865.637389276
115.26530788844575,4748832.637567506,4748832.637567506,7231176.970841429,12249829.644634362
115.92022441053919,4770418.24046554,4748832.637567506,7285140.978086514,12195865.637389276
116.57514093263264,4759625.439016523,4748832.637567506,7285140.978086514,12195865.637389276
117.23005745472608,4738039.836118489,4694868.630322421,7285140.978086514,12087937.622899106
117.88497397681951,4738039.836118489,4640904.623077336,7770817.043292282,11980009.608408935
118.53989049891295,4673283.027424387,4640904.623077336,5990004.804204468,11926045.601163851
119.1948070210064,4630111.821628318,4586940.61583225,6475680.869410235,11980009.608408935
119.84972354309984,4554562.211485199,4586940.61583225,6529644.876655321,12033973.615654022
120.50464006519329,4576147.814383233,4532976.608587164,6583608.883900406,12087937.622899106
121.15955658728673,4565355.012934216,4479012.601342079,6637572.891145491,12195865.637389276
121.81447310938016,4457426.998444045,4479012.601342079,6637572.891145491,12249829.644634362
122.4693896314736,5450364.731753615,4425048.594096994,6637572.891145491,12249829.644634362
123.12430615356705,5439571.930304598,4371084.586851909,6637572.891145491,12249829.644634362
123.77922267566049,5439571.930304598,3507660.470930544,4317120.579606824,12195865.637389276
124.43413919775394,3637174.088318749,3615588.4854207146,4479012.601342079,12141901.630144192
125.08905571984738,3712723.6984618683,3723516.4999108855,6691536.898390576,13922713.869232006
125.74397224194081,3755894.9042579364,3777480.5071559707,6691536.898390576,13868749.86198692
126.39888876403425,3809858.9115030216,3777480.5071559707,6799464.912880748,9497665.275135012
127.0538052861277,3809858.9115030216,3777480.5071559707,7824781.050537367,9551629.282380097
127.70872180822114,3809858.9115030216,3723516.4999108855,7824781.050537367,9659557.296870267
128.3636383303146,3669552.4926658003,3669552.4926658003,6853428.920125833,10469017.405546548
129.01855485240802,3723516.4999108855,3669552.4926658003,6853428.920125833,10469017.405546548
129.67347137450147,3669552.4926658003,3615588.4854207146,6853428.920125833,10522981.412791632
130.3283878965949,3669552.4926658003,3615588.4854207146,5288472.710018359,12357757.659124533
130.98330441868836,5547499.9447947685,3615588.4854207146,5504328.7389987,12303793.651879447
